character,pinyin_hanziDB,pinyin_qxk,meaning,pinyin_hanziDB_qxk,pinyin_name,pinyin_givenname,pinyin_familyname,pinyin,tone,tone_name,tone_familyname,tone_givenname,pinyin_notone,eng,eng_name,eng_familyname,eng_givenname
又,yòu,yòu,yòu	1:副词。 表示动作的重复或相继发生。～去了一次|一波未平，一波～起。2:副词。 表示并存。～白～胖|～好～快。3:副词。 表示加强语气。我～不是外人，不用客气|这点儿困难～算得了什么？4:副词。 表示转折。有许多话要说，～不知道从哪儿说起。5:副词。 表示更进一层或另有补充。天气很冷，～下起了大雪|吃了两碗米饭，～要了半个馒头。6:副词。 表示整数之外再加零数。一～二分之一|十～五年。,yòu,yòu,yòu,yòu,yòu,4,4,4,4,you,you,you,you,you
三,sān,sān,sān	1:数目字，最小的大于二的整数。2:表示多数或多次。～思而行｜～令五申｜接二连～｜举一反～。,sān,sān,sān,sān,sān,1,1,1,1,san,san,san,san,san
干,gàn,gān#gàn,1gān	1:盾牌。～戈（泛指兵器，多比喻战争）。2:冒犯；触犯。～犯|～扰|有～禁例。3:关联；涉及。～连|毫不相～。4:指天干，即甲、乙、丙、丁、戊、己、庚、辛、壬、癸的总称。～支|十～。5:（Ｇāｎ）姓。#####2gān	[乾]	1:没有水分或水分极少的；不用水的（跟“湿”相对）。～旱|～草|烘～|口～舌燥|墨迹未～|～洗。2:加工成的干的食品。饼～|笋～儿|葡萄～儿|把红薯晒成～儿。3:空无所有；净尽。外强中～|～杯|眼泪都哭～了。4:拜认的（亲属关系）。～亲|～儿子。5:无效地；徒劳地。～打雷，不下雨|～着急，没办法。6:形式上地；虚假地。～哭|～笑了两声。#####3gàn	[幹]	1:树干，也泛指事物的主体或重要部分。～道|枝～|躯～|骨～|～细胞。2:干部。提～|调～。3:做；从事。～活儿|～工作|踏实肯～|他～过教育局长。4:能力；有能力的。才～|～练|精明强～。,gān#gàn,gān#gàn,gān#gàn,gān,gān#gàn,1#4,1#4,1,1#4,gan#gan,gan,gan,gan,gan
于,yú,yú,yú	1.1:介词。 在。生～1960年|毕业～北京大学。1.2:介词。 向。求救～人。1.3:介词。 给。嫁祸～人|献身～科学研究。1.4:介词。 对。无济～事|忠～祖国|有益～健康。1.5:介词。 表示比较。大～|小～|重～泰山。1.6:介词。 表示被动。受制～人|见笑～大方之家。1.7:介词。 自；从。青出～蓝|千里之行，始～足下。2:后缀。 附着在动作义或性状义成分的后面，构成动词。归～|属～|居～|急～|勇～|善～。3:（Yú）姓。,yú,yú,yú,yú,yú,2,2,2,2,yu,yu,yu,yu,yu
亏,kuī,kuī,kuī	[虧]	1:损失；减损。～损|～本|～空|～欠|扭～为盈。2:短少；欠缺。～短|～秤|血～|理～|功～一篑。3:对不起；使受损失。～心|～待|～负|别～了人家。4:幸而有；多亏（表示感激、赞叹、庆幸）。～你提醒，我早就忘了|～他帮忙，不然真干不完这些活儿。5:亏得（反说，表示责备、讥讽）。这种话～你说得出口|什么馊主意？～他想得出来！,kuī,kuī,kuī,kuī,kuī,1,1,1,1,kui,kui,kui,kui,kui
工,gōng,gōng,gōng	1:工人；工人阶级。～会|用～|招～|矿～|女～|～农联盟。2:劳动；工作。～资|～具|～序|做～|加～|勤～俭学。3:工程。～地|～期|开～|竣～|施～。4:工业。化～|军～|～矿企业|轻～产品。5:一个人一个劳动日的工作。记～|人～|费～|砌这道墙要六个～。6:技巧；技术水平。～力|～艺|唱～|做～精细|鬼斧神～。7:精巧；精致。～巧|～整|～稳|精～|～笔画|异曲同～。8:擅长；善于。～诗善画|～于心计。9:中国民族音乐音阶中的一级，乐谱上用作记音符号，相当于简谱的“3”。,gōng,gōng,gōng,gōng,gōng,1,1,1,1,gong,gong,gong,gong,gong
土,tǔ,tǔ,tǔ	1:地面上的泥、沙混合物。～壤|～层|冻～|沙～|泥～|黄～。2:田地。～地|沃～。3:领地。国～|疆～|领～。4:家乡；本地。乡～|故～|～生～长|热～难离。5:本地的；具有地方性的。～著|～产|～话|～俗|～匪|～政策。6:来自民间的；民间沿用的（跟“洋”相对）。～布|～造|～专家|～办法|～洋结合。7:不开通；不时兴。～气|～头～脑|样式太～。8:未经熬制的鸦片。烟～。,tǔ,tǔ,tǔ,tǔ,tǔ,3,3,3,3,tu,tu,tu,tu,tu
士,shì,shì,shì	1:对人的美称。人～｜烈～｜勇～｜女～｜壮～｜志～仁人。2:指某些专业技术人员。护～｜院～｜医～｜技～｜助产～。3:军人。～兵｜～气｜～卒｜战～。4:军衔名，在尉之下。～官｜上～。5:指读书人。博～｜～农工商。,shì,shì,shì,shì,shì,4,4,4,4,shi,shi,shi,shi,shi
才,cái,cái,1cái	1:能力。～能｜～华｜～干｜口～｜德～兼备｜真～实学。2:具有某种资质的人。人～｜天～｜英～｜通～｜庸～｜蠢～。。3:（Cái）姓。#####2cái	[纔]	1.1:副词。 表示时间。刚刚；没多久。～来｜～吃过饭。1.2:副词。 表示事情发生或结束得晚。你怎么～知道？｜都八点钟了他～走。2:副词。 表示数量少、程度低等。总共～三个人｜他～比我大一岁。3:副词。 表示某种条件下的直接结果。只有你去劝他～听。4:副词。 表示强调的语气。我～不稀罕呢！,cái,cái,cái,cái,cái,2,2,2,2,cai,cai,cai,cai,cai
下,xià,xià,xià	1:低的位置（跟“上”相对）。～游|～肢|楼～|山～|往～跳。2:次序或时间在后的。～册|～旬|～午|～一个|～不为例。3:等级或质量较低的。～等|～级|～策|低～|上行～效。4:由高处到低处。～山|～楼。5:退出；离开。～岗|～车。6:去；到。～乡|～海|～馆子。7:（雨、雪等）降落。～雨|～霜|～冰雹。8:发布；投送。～令|～达|～批文|～帖子。9:放进去。～网|～毒|～种|～面条。10:（动物）生产。～崽|～蛋。11:进行（棋类活动）。～棋。12:使用；开始使用。～笔|～刀|～力气|～工夫|～毒手|对症～药。13:做出；得出。～决心|～定义|～结论。14:到规定时间结束。～操|～课|～班|～工。15:攻克。连～数城|久攻不～。16:低于；少于。气温不～35。17:用在名词性词语后，表示在一定的范围、条件、时间里。名～|部～|手～|四～|私～|眼～|节～。18.1:用在动词后，有时读轻声。表示动作由高到低。坐～|放～|跳～去。18.2:用在动词后，有时读轻声。表示动作完成。创～纪录|准备～礼物。18.3:用在动词后，有时读轻声。表示能容纳。教室坐得～五十人|装不～了。19:量词用于动作、行为的次数。敲了三～|试两～。,xià,xià,xià,xià,xià,4,4,4,4,xia,xia,xia,xia,xia
寸,cùn,cùn,cùn	1:量词。 市制长度单位。10寸为1尺。1市寸约合3.33厘米。2:形容很短、很小或很少。～阴（极短的时间）｜～步难行｜～草不生｜鼠目～光。,cùn,cùn,cùn,cùn,cùn,4,4,4,4,cun,cun,cun,cun,cun
大,dà,dà#dài#tài,1dà	1:在体积、面积、力量、程度等方面超过一般或超过比较对象（跟“小”相对）。～门|～陆|～力士|巨～|庞～|小题～做。2:大小的程度。你多～了？|巴掌～的小脸。3:排行第一的；最高的。～姑|老～|～学|～元帅。4:重要的。重～|～典|～纲|～事|～业。5:时间更远。～前天|～后年。6:敬辞。称跟对方有关的事物。～作|～驾|尊姓～名。7:用在某些时间、时令、节假日、天气情况前，表示强调。～清早|～热天|～年三十。8:副词。 表示程度深。～慈～悲|～发雷霆|天已～亮。#####2dài	（dài）义同“大（dà）”。～夫（医生）|～王（传统戏曲、小说中对国王、山寨头领的称呼）。,dà#dài#tài,dà#dài#tài,dà#dài#tài,dà#dài#tài,dà#dài#tài,4#4#4,4#4#4,4#4#4,4#4#4,da#dai#tai,da#dai#tai,da#dai#tai,da#dai#tai,da#dai#tai
丈,zhàng,zhàng,zhàng	1:量词。 市制长度单位，10尺为1丈。1丈约合3.3333米。2:测量（土地的）长度、面积。～量|～地。3:丈夫（用于某些亲戚的尊称）。姑～|姐～|岳～。,zhàng,zhàng,zhàng,zhàng,zhàng,4,4,4,4,zhang,zhang,zhang,zhang,zhang
与,yǔ,yǔ#yù#yú,1yǔ	[與]	1:连词。 和。父～子|战争～和平。2:介词。 同；跟。～众不同|事～愿违。3:给。付～|授～|赠～|～人方便。4:交往；亲近。～国（友邦）|相～。5:赞助。～人为善。#####2yù	[與]	参加。～会|～闻|参～。,yǔ#yù#yú,yǔ#yù#yú,yǔ#yù#yú,yǔ#yù#yú,yǔ#yù#yú,3#4#2,3#4#2,3#4#2,3#4#2,yu#yu#yu,yu,yu,yu,yu
万,wàn,wàn#mò,1mò	【万俟（qí）】 复姓。#####2wàn	[萬]	1:数目字，十个一千。2:形容很多。～物|～岁|～国|～象|千家～户|～水千山。3:副词。 很；绝对；无论如何。～无一失|～不可骄傲。4:（Wàn）姓。,wàn#mò,wàn#mò,wàn#mò,wàn,wàn#mò,4#4,4#4,4,4#4,wan#mo,wan#mo,wan#mo,wan,wan#mo
上,shàng,shàng#shǎng,1shǎng	上声，汉语声调的一种，普通话上声是四声中的第三声，降升调，以符号“ˇ”表示。#####2shàng	1:高的位置；高处（跟“下”相对）。～空｜～衣｜～部｜～铺｜向～攀登｜高高在～。2:次序或时间在前的。～册｜～文｜～午｜～周｜～半年｜承～启下。3:等级或质量较高的。～等｜～宾｜～将｜～策｜～乘｜～品。4:指皇帝或地位高的人。～谕｜抗～｜欺～瞒下｜犯～作乱｜～行下效。5:由低处到高处。～楼｜～山｜扶摇直～｜拾(shè）级而～。6:进入；加入；向前进。～场｜～车｜～市｜～网｜～阵｜一哄而～｜蜂拥而～。7:去；往。～街｜～岗｜～任｜～学校｜～门服务。8:呈递；奉上。～书｜～供｜～茶｜～菜。9:增加；添补。～水｜～油｜～膘｜～货｜～肥。10:安装。～刺刀｜～螺丝｜～子弹。11:涂；抹。～药｜～漆｜～蜡｜～颜色。12:记载；登载。～账｜～报｜～电视｜～光荣榜。13:拧紧（发条）。～表｜～弦｜～闹钟。14:按规定时间进行某种活动。～操｜～课｜～工｜～早班。15:达到或超过（一定的程度或数量）。～档次｜～岁数｜成千～万｜人均收入～万圆。16:中国民族音乐音阶的一级，乐谱上用作记音符号，相当于简谱的“1”。17:用在名词后，表示处所、范围、方面等，多读轻声。墙～｜身～｜书～｜网～｜理论～｜形式～。18:用在动词后，表示动作的趋向或动作的结果，有时读轻声。爬～楼顶｜飞～蓝天｜合～书｜追～敌人｜评～标兵。,shàng#shǎng,shàng#shǎng,shàng#shǎng,shàng#shǎng,shàng#shǎng,4#3,4#3,4#3,4#3,shang#shang,shang,shang,shang,shang
小,xiǎo,xiǎo,xiǎo	1:在体积、面积、力量、程度等方面不及一般或不如比较对象（跟“大”相对）。～山|～屋|矮～|细～|她比我～一岁。2:年纪小的人。妻～|一家大～|两～无猜|上有老，下有～。3:排行最末的。～姑|～儿子。4:谦辞，用于称自己或跟自己有关的人或事物。～弟|～女|～文。5:副词。 稍微。牛刀～试|不无～补。6:副词。 略微少于；将近。～四十的人了|他俩结婚～二十年了。7:副词。 短时间地。～住|～睡一会儿。8:前缀。 附着在姓氏前，用来称呼年轻人。～张|～李。,xiǎo,xiǎo,xiǎo,xiǎo,xiǎo,3,3,3,3,xiao,xiao,xiao,xiao,xiao
口,kǒu,kǒu,kǒu	1:嘴，人和动物进食的器官，有的也是发声器官的一部分。～水|～罩|～腔|异～同声|虎～脱险。2:人口；家庭成员。～粮|户～|拖家带～。3:容器等通外面的部位。瓶～|碗～|井～|喇叭～。4:出入通过的地方。出～|门～|窗～|路～|洞～|胡同～儿。5:破裂的地方。伤～|疮～|决～|衣服撕了个～儿。6:口味。～重|可～|众～难调。。7:锋刃。刀～|刀还没有开～。8:马、骡等牲口的年龄（因可以由牙齿的数目来判断）。六岁～|这匹马～还小。9:行业；政府部门的管理系统。归～|文教～|外事～|对～支援。10.1:量词。 用于人。三～之家|上百～人的村庄。10.2:量词。 用于牲畜。一～猪。10.3:量词。 用于器物。一～井|一～锅|两～缸|一～宝刀。,kǒu,kǒu,kǒu,kǒu,kǒu,3,3,3,3,kou,kou,kou,kou,kou
山,shān,shān,shān	1:地面上由土石构成的高耸部分。～峰｜～区｜～坡｜登～｜高～｜崇～峻岭。2:形状像山的东西。冰～｜刀～火海。3:山墙，人字形屋顶的房屋两侧的墙壁。房～｜屋～。4:蚕蔟（cù），供蚕吐丝作茧的设备。蚕～｜蚕上～了。5:（Shān）姓。,shān,shān,shān,shān,shān,1,1,1,1,shan,shan,shan,shan,shan
巾,jīn,jīn,jīn	用来擦东西或围、裹、覆盖东西的纺织品。毛～|餐～|手～|围～|纱～|浴～。,jīn,jīn,jīn,jīn,jīn,1,1,1,1,jin,jin,jin,jin,jin
千,qiān,qiān,1qiān	1:数目字十个一百。2:表示极多。～家万户|～姿百态|一刻～金|气象万～。3:（Qiān）姓。#####2qiān	[韆]	【秋千】 见“秋”。,qiān,qiān,qiān,qiān,qiān,1,1,1,1,qian,qian,qian,qian,qian
乞,qǐ,qǐ,qǐ	向人讨；请求别人给。～讨|～求|～食|～丐|行～|摇尾～怜。,qǐ,qǐ,qǐ,qǐ,qǐ,3,3,3,3,qi,qi,qi,qi,qi
川,chuān,chuān,chuān	1:河流；水道。河～｜冰～｜山～｜～流不息｜百～归海。2:山间平地；平原。平～｜秦～｜米粮～。3:（Chuān）四川的简称。～剧｜～菜｜～藏公路。,chuān,chuān,chuān,chuān,chuān,1,1,1,1,chuan,chuan,chuan,chuan,chuan
亿,yì,yì,yì	[億]	数目字，一万万。,yì,yì,yì,yì,yì,4,4,4,4,yi,yi,yi,yi,yi
个,gè,gè#gě,1gě	[個]	【自个儿】 代词。指自己。#####2gè	[個]	1:量词。 用于表示事物的量。一～苹果|两～书桌|几～原因|想～办法。2:单独的。～案|～人|～体|～别|～性|各～。3:人的身材或物体的大小。～头儿|小～儿|大～儿的萝卜。,gè#gě,gè#gě,gè#gě,gè#gě,gè#gě,4#3,4#3,4#3,4#3,ge#ge,ge,ge,ge,ge
夕,xī,xī,xī	1:日落的时候；傍晚。～阳|～照|朝发～至|旦～祸福。2:夜晚。前～|除～|七～。,xī,xī,xī,xī,xī,1,1,1,1,xi,xi,xi,xi,xi
久,jiǔ,jiǔ,jiǔ	1:时间长。～别|～留|～远|悠～|持～|长治～安。2:时间的长短。十年之～|还得等多～？,jiǔ,jiǔ,jiǔ,jiǔ,jiǔ,3,3,3,3,jiu,jiu,jiu,jiu,jiu
么,me,yāo#mó#ma#me,me	[麽]	后缀。 用于“这么、那么、什么、怎么、多么”等词。,yāo#mó#ma#me,yāo#mó,yāo#mó,yāo#mó,yāo#mó#ma#me,1#2#0#0,1#2,1#2,1#2,yao#mo#ma#me,yao#mo#ma#me,yao#mo,yao#mo,yao#mo
勺,sháo,sháo,sháo	1:用来舀东西的器具，有柄，多为空心半球形。汤～｜饭～｜铁～｜炒～｜漏～。2:量词。 市制容量单位，10撮为1勺，10勺为1合(gě），1勺合10毫升。,sháo,sháo,sháo,sháo,sháo,2,2,2,2,shao,shao,shao,shao,shao
凡,fán,fán,fán	1:平常；普通。～庸|平～|～人|非～|不同～响|自命不～。2:指尘世；人世间。～尘|～心|思～|仙女下～。3:大概；要略。～例|大～|发～。4.1:副词。 表示无一例外。～事都和他商量|～不合格产品，决不许出厂。4.2:副词。 表示总共。～四十年|全书～八十卷。5:中国民族音乐音阶的一级，乐谱上用作记音符号，相当于简谱的“4”。,fán,fán,fán,fán,fán,2,2,2,2,fan,fan,fan,fan,fan
丸,wán,wán,wán	1:小而呈球形的东西。～药|蜡～|弹～|肉～|胶～|樟脑～。2:指丸药。～散膏丹|跌打～|牛黄解毒～。3:量词。 用于丸药。一～药。,wán,wán,wán,wán,wán,2,2,2,2,wan,wan,wan,wan,wan
及,jí,jí,jí	1:达到；牵涉。～格|～至|涉～|普～|危～|爱屋～乌。2:赶上；赶得上；比得上。追～|企～|来不～|迫不～待|望尘莫～|糖不～蜜甜。3:趁着。～时|～早。4:连词。 和；跟。上午的课程有语文、数学～外语|职工～其家属。,jí,jí,jí,jí,jí,2,2,2,2,ji,ji,ji,ji,ji
广,guǎng,guǎng#ān,guǎng	[廣]	1:（面积、范围）宽阔（跟“狭”相对）。～泛|～阔|～场|宽～|地～人稀|流传很～。2:多。大庭～众|兵多将～。3:扩大。～告|～播|推～|以～流传。4:（Guǎng）指广东、广州。～货|～交会|京～线。,guǎng#ān,guǎng#ān,guǎng#ān,guǎng#ān,guǎng#ān,3#1,3#1,3#1,3#1,guang#an,guang#an,guang#an,guang#an,guang#an
亡,wáng,wáng#wú,wáng	1:逃；逃跑。～命|逃～|流～。2:失去；丢失。～失|消～|唇～齿寒|～羊补牢|名存实～。3:死去的；死。～友|～灵|死～|身～|伤～|家破人～。4:灭；灭亡。～国|兴～|危～|救～|衰～。,wáng#wú,wáng#wú,wáng#wú,wáng#wú,wáng#wú,2#2,2#2,2#2,2#2,wang#wu,wang#wu,wang#wu,wang#wu,wang#wu
门,mén,mén,mén	[門]	1:房屋或车、船、飞机、院子等的出入口，也指装置在出入口、能开关的屏障物。～口|车～|舱～|开～。2:形状或作用像门的东西。柜～|球～|闸～|电～。3:诀窍；办法。～路|～道|窍～|入～|歪～斜道。4:家族；家庭。～第|～风|名～|豪～|～当户对|双喜临～。5:学术思想或宗教的派别。儒～|佛～|左道旁～。6:特指老师或师傅的门庭。～生|～徒|同～。7:种类。～类|部～|专～|分～别类|五花八～。8:生物分类系统的第二级，在界之下，纲之上，如脊索动物门、裸子植物门。9.1:量词。 用于学术、技术、功课的种类。一～学问|两～技术|五～功课。9.2:量词。 用于亲戚、婚事等。一～亲戚|一～婚事。9.3:量词。 用于大炮。一～大炮。10:（Mén）姓。,mén,mén,mén,mén,mén,2,2,2,2,men,men,men,men,men
丫,yā,yā,yā	1:树木分杈的地方。～杈|树～|枝～。2:女孩子。小～。,yā,yā,yā,yā,yā,1,1,1,1,ya,ya,ya,ya,ya
义,yì,yì,yì	[義]	1:意思。意～|含～|定～|反～词|望文生～。2:正义，公正合宜的道理或举动。道～|起～|仁～|侠～|～不容辞|见～勇为。3:情谊。～气|情～|无情无～|忘恩负～。4:公正合宜的；合乎正义或公益的。～军|～举|～演|～卖|～诊。5:因抚养或拜认而成为亲属的。～父|～母|～子|～女。6:人工制造的（人体的某部分）。～肢|～齿。,yì,yì,yì,yì,yì,4,4,4,4,yi,yi,yi,yi,yi
之,zhī,zhī,zhī	1.1:代词。 代替人或事。取而代～|言～有理|持～以恒|绳～以法|好自为～|不了了（ｌｉǎｏｌｉǎｏ）～。1.2:代词。 指代作用虚化，不代替什么。总～|久而久～|堂而皇～。2:助词。 相当于“的”。当务～急|后顾～忧|丝绸～路|有识～士|影响～广泛，有目共睹。,zhī,zhī,zhī,zhī,zhī,1,1,1,1,zhi,zhi,zhi,zhi,zhi
尸,shī,shī,shī	1:尸体，人或动物死后的身体。～首｜～骨｜～身｜～骸｜死～｜～横遍野。2:空占着职位不做事。～禄｜～位素餐。,shī,shī,shī,shī,shī,1,1,1,1,shi,shi,shi,shi,shi
己,jǐ,jǐ,jǐ	1:代词。 自己，对别人称本身或本身所属的一方。知～|各抒～见|严于律～|毫不利～。2:天干的第六位，常用作顺序的第六。,jǐ,jǐ,jǐ,jǐ,jǐ,3,3,3,3,ji,ji,ji,ji,ji
已,yǐ,yǐ,yǐ	1:止；停止。争论不～|鞠躬尽瘁，死而后～。2:副词。 已经。～知|～故|～婚|早～|由来～久。,yǐ,yǐ,yǐ,yǐ,yǐ,3,3,3,3,yi,yi,yi,yi,yi
巳,sì,sì,sì	地支的第六位。,sì,sì,sì,sì,sì,4,4,4,4,si,si,si,si,si
弓,gōng,gōng,gōng	1:射箭或发射弹丸的器械。～箭|～弦|弹（dàn）～|弩～|惊～之鸟|左右开～。2:形状或作用像弓的器具。琴～|弹棉花的绷～。3:弯曲；使弯曲。～背|～着腰。,gōng,gōng,gōng,gōng,gōng,1,1,1,1,gong,gong,gong,gong,gong
